Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Open Access,Source
"Hu M., Fryer K.C., Heet A., Mathis J.","Teaching Carbon-Neutral Development Using Immersive Virtual Reality: An Experiment",2025,"Journal of Civil Engineering Education","151","4","05025005","","",,,"10.1061/JCEECD.EIENG-2140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007287344&doi=10.1061%2fJCEECD.EIENG-2140&partnerID=40&md5=c5bc6198b87c7b0e24f0d7f0bf10da87","This study explores the integration of immersive virtual reality (IVR) in teaching carbon-neutral development, focusing on experiential learning. Utilizing a case study approach with the Hafencity project in Hamburg, Germany, the research evaluates IVR as an educational tool to deliver an immersive learning experience in carbon-neutral development and sustainable strategies. A multidisciplinary team designed the IVR experience, incorporating real-world case studies and leveraging state-of-the-art sustainable development practices. The experiment involved a diverse group of students who, through IVR, engaged with five critical modules of sustainability. The effectiveness of the IVR experience was assessed through questionnaires focusing on ease of use, perceived usefulness, and intention to use, employing a seven-point Likert scale. Results indicate that IVR significantly enhances understanding and engagement in sustainability topics, providing an effective educational environment that fosters active learning. This experiment contributes to the growing body of knowledge on IVR as a tool in sustainability education, pointing towards future developments such as incorporating the memory palace concept for improved student engagement and recall. The study also outlines the limitations and potential areas for enhancement in IVR-based sustainability education. © 2025 American Society of Civil Engineers.","Carbon-neutral development; Experiential learning theory; Immersive virtual reality (IVR)","Engineering education; Teaching; Carbon neutrals; Carbon-neutral development; Case study approach; Educational tools; Experiential learning; Experiential learning theories; Immersive virtual reality; Sustainability education; Virtual reality experiences; Students",Article,"",Scopus
"Henderson T.S., Carrero A., Michel J.O.","Engineering students' sustainability learning: Examining opportunities to learn about sustainability and their role in student outcomes",2025,"Journal of Engineering Education","114","3","e70010","","",,,"10.1002/jee.70010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006714827&doi=10.1002%2fjee.70010&partnerID=40&md5=02d3ac3f44f88baf7ff10bd66486a3a6","Background: Engineering students will be responsible for building new technologies that either mitigate or exacerbate future sustainability problems. Engineering educators are thus tasked with educating engineering students on the knowledge, attitudes, and behaviors that will make them change makers of the future. Purpose: The purpose of this research was to examine the learning opportunity structures that engineering students experience, as well as how students' opportunities to learn about sustainability-related issues are related to cognitive and behavioral learning outcomes. Methods: We surveyed engineering students at a large, public Midwestern university at the beginning and end of an academic year. Using structural equation modeling, this analysis focuses on engineering students' self-reported opportunities to learn about sustainability-related issues, as well as their self-reported learning outcomes. Results: We document sociodemographic differences in students' sustainability learning outcomes, including statistically significant sex differences in leadership and activism behaviors among engineering students. Additionally, various opportunities to learn about sustainability appear to be related to different learning outcomes, with implications for faculty pedagogies and learning activities. Finally, the relationship between cocurricular participation in sustainability-related activities and cognitive and behavioral learning outcomes appears to be mediated by students' opportunities for learning about sustainability. Conclusion: Engineering educators must carefully conceptualize the relationship between various opportunities to learn about sustainability and the specific learning outcomes those learning opportunities may foster. Moreover, opportunities to engage in sustainability-related actions outside of the classroom may enhance students' learning in engineering education. © 2025 American Society for Engineering Education.","structural equation modeling; sustainability competencies; sustainability education","Behavioral research; Curricula; Green development; Sociology; Students; Teaching; Engineering educators; Learn+; Learning opportunity; Learning outcome; Structural equation models; Student experiences; Student outcomes; Sustainability competency; Sustainability education; Sustainability learning; Engineering education",Article,"",Scopus
"Martinenco R.M., Martín R.B., García-Romano L., Manavella A.M.","Cross-cultural perspective on sustainability learning: A design-based research in science classes",2025,"Cross-Cultural Comparisons of Science Education",,,,"255","275",,,"10.4018/979-8-3693-5743-9.ch010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005387415&doi=10.4018%2f979-8-3693-5743-9.ch010&partnerID=40&md5=6835e775d7ac174699d413f016eb4842","This chapter stemmed from acknowledging the need to adopt sociocultural and situated approaches in the field of sustainability education. The objective of the research was to develop environmental education proposals that transcend traditional models, recognising the learning ecologies constructed by students and identifying the emerging emotions experienced during the process. In 2022, design- based research was conducted within the curricular area of the Environment, Development and Society class. The study involved teachers and students of the sixth year of a secondary school located in a town of Córdoba (an Argentinian province), as well as university teachers and students from environment and education- related careers. The results were organised into three dimensions: learning resources, promotion of emotional aspects and hybridisation of contexts. In the final considerations, we recognise the importance of integrating diverse knowledge and addressing contextspecific issues to develop environmental learning. © 2025, IGI Global Scientific Publishing. All rights reserved.",,"Curricula; Design; Engineering education; Sociology; Teaching; Design-based research; Environmental education; Learning ecologies; Secondary schools; Sustainability education; Sustainability learning; Teachers'; Traditional models; University students; University teachers; Students",Book Chapter,"",Scopus
"Cebesoy Ü.B., Önger S.","How Artificial Intelligence (AI) tools can be used to support climate change education",2025,"Intelligent Solutions to Evaluate Climate Change Impacts",,,,"281","298",,,"10.4018/979-8-3693-5898-6.ch012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004782183&doi=10.4018%2f979-8-3693-5898-6.ch012&partnerID=40&md5=57ebe41f6c4244279a1ed0e6ee547506","Abstract Artificial Intelligence (AI) has attracted great attention from different fields. The effects and consequences of AI are still under scrutiny as it continues to evolve. The education field is an area where AI technologies are being frequently used. In this chapter, we first introduced the definition of climate change, its causes and consequences, and adaptation and mitigation strategies. Then, we introduced Climate change education (CCE) and how digital technologies could support CCE. In the following parts, AI was defined and was discussed how to use AI tools and content in CCE. The use of AI in CCE is discussed under four headings: Immersive technologies and learning, content design, data analysis and data visualization tools, and assessment and feedback. In each section, various suggestions were provided to teachers. © 2025 by IGI Global Scientific Publishing.",,"Curricula; Data visualization; Demonstrations; Engineering education; Global warming; Students; Adaptation strategies; Artificial intelligence technologies; Artificial intelligence tools; Digital technologies; Education field; Immersive learning; Immersive technologies; Learning contents; Mitigation strategy; Technology contents; Teaching",Book Chapter,"",Scopus
"Nikoloudakis N., Rangoussi M.","Sustainability in (engineering) education through reclaiming and reusing electronic components from e-waste: a last decade research review",2025,"International Journal of Sustainability in Higher Education","26","1",,"181","198",,,"10.1108/IJSHE-09-2023-0405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197428205&doi=10.1108%2fIJSHE-09-2023-0405&partnerID=40&md5=81ecc3ba101caa8bdcb8d3ecc66e3159","Purpose: This paper aims to investigate the e-waste aspect of sustainability in education, with a specific interest in engineering education. Specifically, it focuses on recycling through reclaiming electronic components from e-waste and reusing them in repairs or in the design and construction of new devices. Design/methodology/approach: A systematic literature review is performed according to the PRISMA methodology. In total, 27 articles are analysed as to publication parameters, characteristics and evaluation of educational interventions on e-waste and evaluation results across major domains of learning (cognitive, affective and 21st century skills). Findings: The reviewed subject is under-research; publications are rare and mostly in conference proceedings. The majority of interventions take place at university level, in face-to-face mode, using a practical approach in hands-on labs. Educational methods draw from modern, learner-centred pedagogies such as collaborative learning and constructionism. Topics focus on innovative design and construction, while interventions tend to become embedded in engineering curricula/courses. Evaluation of learners’ gains across domains of learning is rare and follows informal procedures that shake the reliability of results. Domains other than the cognitive are scarcely and subjectively evaluated. Originality/value: Contrary to other aspects of sustainability, the aspect of e-waste has not been reviewed. The applied, hands-on approach and the analytic, synthetic, collaboration and creativity skills it requires are all much valued in education. The current review, therefore, comes to inform, inspire and guide educators and researchers in planning and implementing activities on this subject. © 2024, Emerald Publishing Limited.","Domains of learning; e-Waste; Education; Educational intervention; Electronic components; Engineering education; Evaluation; Reclaiming; Recycling; Reusing; Sustainability; Systematic literature review; WEEE",,Review,"",Scopus
"Sudhakar H.","Sustainability education: cultivating environmental awareness and action through campus carbon sequestration studies",2025,"International Journal of Sustainability in Higher Education",,,,"","",,,"10.1108/IJSHE-09-2024-0641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007244991&doi=10.1108%2fIJSHE-09-2024-0641&partnerID=40&md5=9703e4f2b19e95f8c397514d30db639a","Purpose: Sustainability education increases environmental awareness and civic involvement. Campus-based initiatives make meaningful contributions to global climate goals by reducing carbon emissions fostering collaboration between academia, industry, government and civil society. The purpose of this study is to examine the impacts of campus-based learning activity on “students attributes”, particularly research, critical thinking and interpersonal skills empowering them to work aligned with sustainability development goals. Design/methodology/approach: A collaborative learning activity was planned and assigned to a group of civil engineering students using the university campus as a living laboratory to estimate carbon sequestration potential (CSP). Findings: The exercise turned out as a “green audit” in the campus, where students learned more about the significance of the challenges associated with reducing carbon emissions. In all, 47 tree species were identified, with a total CSP of approximately 91.042 tons. This activity equipped students with the knowledge, skills and values necessary to contribute meaningfully to carbon sequestration efforts within their university campus and beyond, fostering a culture of sustainability and environmental stewardship. Originality/value: The activity-based assessment stands out by incorporating civil engineering perspectives to analyze carbon sequestration within the context of infrastructure, land use and sustainable campus planning bridging environmental science with engineering applications. The carbon foot printing exercise evolved as the sustainability learning initiative of the new educational policy framework and improved soft and interpersonal skills as the learning outcomes for the students, inspiring them to become active agents of positive change in the fight against global warming. © 2025, Emerald Publishing Limited.","Carbon footprint; Carbon sequestration; Civil engineering education; Outdoor activity-based learning; Sustainability education",,Article,"",Scopus
"Atuonwu J.C.","A simulation tool for pinch analysis and heat exchanger/heat pump integration in industrial processes: Development and application in challenge-based learning",2025,"Education for Chemical Engineers",,,,"","",,1,"10.1016/j.ece.2025.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003691022&doi=10.1016%2fj.ece.2025.04.001&partnerID=40&md5=dff05c6800a611d3ae58b9fb389c1e42","A novel simulation tool for pinch analysis and heat exchanger/heat pump integration has been developed and tested on a variety of process problems. The tool enables users to efficiently solve problems of varying complexity that would be cumbersome to address manually, thus, aligning with industrial practice where engineers rely on commercial software to streamline analysis and design processes. Demonstrations using the tool show that it can accurately produce composite and grand composite curves and compute heating/cooling utility targets, heat recovery targets and pinch points, for any given process data. It can also determine heat exchanger networks that realise these targets. A key distinguishing feature of the tool is its integration of Heat Pumps, which is particularly relevant given the growing trend toward the electrification of heat in industrial systems. Through several case studies, students applied the tool to optimise process energy systems, demonstrating its potential to enhance learning outcomes while providing valuable insights into energy efficiency and decarbonisation strategies. Applied in an industrial decarbonisation challenge in collaboration with a food manufacturer, the tool generates heat exchanger and heat pump integration solutions resulting in significant energy savings—up to 48 % in heating utilities and 100 % in cooling utilities. Overall, the simulation tool effectively bridges the gap between academic learning and industry practice, offering a unique and impactful approach to sustainability education. © 2025 Institution of Chemical Engineers","Challenge-based learning; Educational software; Energy engineering; Heat integration; Industrial decarbonisation; Pinch technology","Air source heat pumps; Demonstrations; Educational robots; Engineering education; Mobile applications; Software testing; Students; Utility programs; Challenge-based learning; Decarbonisation; Educational software; Energy engineering; Heat integration; Heat pumps; Industrial decarbonization; Industrial process development; Pinch analysis; Pinch technology; Enterprise software",Article,"",Scopus
"Hervé N., Huez J.","Design Fiction in French Engineering Education: Imaging Futures for Waste Management",2025,"Research in Science Education",,,"131129","","",,,"10.1007/s11165-025-10234-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218864493&doi=10.1007%2fs11165-025-10234-4&partnerID=40&md5=a9e17c25d2f60c8dd743ac93cf67afa2","Integrating climate change education into engineering education is essential to prepare students for an uncertain and problematic future. The waste sector is a major consumer of natural resources and emitter of greenhouse gases, which is why it is a central theme in the training of engineering students. This paper presents the main takeaways from a pilot training module based on design fiction. The module aims to develop futures thinking in engineering students by helping them to imagine waste management in different climatic and technological contexts. An analysis of the futures images based on written output shows that the training module enables students to generate different technological schemes for waste recovery, which are conceived in their social and cultural context. Students nevertheless struggle to imagine futures that are radically different from lifestyles in a consumer society. Only output imagining a future of collapse explores ways of living that depart from our current lifestyles. Articulating the temporalities of technological and climatic processes and understanding low-tech approaches appear to be two opportunities for perfecting the module. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","Design fiction; Education for sustainable development; Engineering education; Futures thinking; Higher education",,Article,"",Scopus
"Amirbagheri K., Corrons A., Moreno Vendrell A., Nascimento D.L.M.","Sustainable practices implementation in the future careers of engineering students: an empirical study",2025,"International Journal of Sustainability in Higher Education",,,,"","",,,"10.1108/IJSHE-04-2024-0298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002589668&doi=10.1108%2fIJSHE-04-2024-0298&partnerID=40&md5=3200861d5333c694ce2acd4a37627de2","Purpose: The purpose of this study is to understand how a group of undergraduate engineering students from Escola Universitària Salesiana de Sarrià, Barcelona, Spain, incorporate sustainability into their academic and professional journeys and the factors that influence their actions. Design/methodology/approach: Leveraging the decomposed theory of planned behavior (Taylor and Todd, 1995), the study surveyed 275 students from diverse engineering areas and programmatic trajectories. Using structural equation modeling, this research aimed to understand the complex interplay between various factors influencing students’ attitudes and intentions toward sustainable practices. Findings: The study’s findings indicate that a positive attitude and a strong subjective norm (a person’s perception of the social expectations to adopt a particular behavior) directly and positively impact an individual’s behavioral intention to act sustainably and responsibly in their future professional life. This validates two of the proposed hypotheses, examining the positive influence of a person’s attitude and subjective norm on behavioral intention. The results confirm that attitude is the most critical element among others so that universities can promote a positive attitude toward sustainability among students. Originality/value: The final goal is to generate critical points for sustainability across the European Union, thereby showcasing originality and innovation beyond its geographical focus. © 2025, Emerald Publishing Limited.","Decomposed theory of planned behavior (DTPB); Empirical study; Engineering education; Structural equation model (SEM); Sustainability; Sustainable development goals (SDGs)",,Article,"",Scopus
"Bolstad T., Verhulst E., Henriksen R.B.","Educators’ perspective on integrating sustainability in higher engineering education: a case study within an electronic engineering study programme",2025,"European Journal of Engineering Education",,,,"","",,,"10.1080/03043797.2025.2486192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002365621&doi=10.1080%2f03043797.2025.2486192&partnerID=40&md5=66bb49d7158ce22e3c9698041a528d99","Current societal challenges require engineers not only to be experts within their technological field, but also to have the competences needed to understand and consider sustainability in all aspects of their work. However, a better integration of sustainability competences in the curricula of engineering programmes is still needed. Simultaneously, meaningful integration approaches for sustainable development in higher education have proved difficult. Despite the central role of educators in promoting sustainability in the curricula, there is a need to understand better how to involve them. This paper presents the educators’ perspective on integrating sustainability in an electronic engineering MSc programme with an approach that aims for integration and transformation. A case study approach is used to shed light on how educators perceive, experience and reflect upon the integration process. The main results indicate a conflict between the educators’ goals and actions and reveal a set of drivers and barriers. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Educator perspective; electronic engineering; ESD; higher education; integration process; sustainability","Engineering education; Sustainable development; 'current; Case-studies; Educator perspective; Engineering program; Engineering study programs; ESD; High educations; Higher engineering educations; Integration approach; Integration process; Sustainable development goals",Article,"",Scopus
